product_name,category,brand,description,specifications,features,price,stock,warranty
Wireless Mouse,Computer Accessories,LogiTech,"Ergonomic 2.4GHz wireless mouse designed for laptops and PCs","Connectivity: 2.4GHz wireless; DPI: 800/1200/1600; Battery Life: 12 months; Color: Black","Ergonomic design, Silent clicks, Adjustable DPI, USB nano receiver",12.99,150,"1 year limited"
Gaming Keyboard,Computer Accessories,Razer,"RGB backlit mechanical keyboard with blue switches ideal for gaming","Switch Type: Blue mechanical; Backlight: RGB; Connection: USB wired; Key Rollover: 100% anti-ghosting","Customizable RGB lighting, Durable keycaps, Gaming mode, Ergonomic wrist rest",45.50,100,"2 years manufacturer"
Office Chair,Furniture,Ikea,"Adjustable mesh chair with lumbar support for office use","Material: Mesh; Adjustable Height: 45-55cm; Weight Capacity: 120kg; Color: Black","Lumbar support, Breathable mesh, 360° swivel, Height adjustable",89.99,75,"5 years limited"
Water Bottle,Kitchen & Dining,Nalgene,"Stainless steel insulated 1L bottle keeping drinks hot or cold","Capacity: 1L; Material: Stainless Steel; Insulation: Double-wall vacuum; Color: Silver","Leak-proof, Keeps drinks hot/cold for 12 hours, BPA-free",15.49,200,"1 year limited"
Smartphone,Electronics,Samsung,"6.5-inch Android phone with 128GB storage and quad-camera setup","Display: 6.5-inch AMOLED; Storage: 128GB; RAM: 6GB; Battery: 4000mAh; OS: Android 12","Fast charging, Fingerprint sensor, Multi-camera, Face unlock",399.00,50,"1 year manufacturer"
Noise Cancelling Headphones,Audio,Sony,"Over-ear wireless headphones with Active Noise Cancellation","Battery: 30 hours; Connectivity: Bluetooth 5.0; Color: Black; Weight: 250g","ANC, Wireless, Comfortable ear cushions, Built-in mic",129.99,80,"2 years manufacturer"
Running Shoes,Footwear,Nike,"Breathable lightweight sports shoes for men","Material: Mesh; Sizes: 7-12; Sole: Rubber; Color: Grey/Blue","Lightweight, Breathable, Shock absorption, Non-slip sole",49.99,120,"6 months manufacturer"
Leather Wallet,Fashion,Tommy Hilfiger,"Genuine leather slim wallet for men","Material: Genuine leather; Card Slots: 6; Coin Pocket: Yes; Color: Brown","Slim design, Durable, RFID protection",25.00,180,"1 year limited"
Coffee Maker,Kitchen Appliances,Philips,"Automatic drip coffee machine with timer function","Capacity: 1.2L; Power: 900W; Material: Plastic/Stainless Steel; Color: Black","Programmable timer, Auto shut-off, Easy to clean",59.99,60,"2 years manufacturer"
Desk Lamp,Home & Office,Philips,"LED lamp with touch control and USB charging port","Power: 7W LED; Color Temp: 3000K-6000K; Material: Aluminum; Color: Silver","Touch control, Adjustable brightness, USB charging port",22.99,140,"1 year limited"
